created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-12-05T22:28:23+00:00,91,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:28:38+00:00,92,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:28:54+00:00,93,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:29:09+00:00,94,22.60000,39.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:29:25+00:00,95,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:29:40+00:00,96,22.60000,38.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:29:55+00:00,97,22.60000,39.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:30:11+00:00,98,22.50000,38.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:30:26+00:00,99,22.50000,39.00000,23.40000,37.00000,23.50000,41.00000,,,,
2023-12-05T22:30:41+00:00,100,22.60000,38.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:30:57+00:00,101,22.50000,38.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:31:12+00:00,102,22.50000,38.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:31:27+00:00,103,22.50000,39.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:31:43+00:00,104,22.60000,39.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:31:58+00:00,105,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:32:13+00:00,106,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:32:29+00:00,107,22.50000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
2023-12-05T22:32:44+00:00,108,22.60000,39.00000,23.40000,37.00000,23.50000,40.00000,,,,
2023-12-05T22:33:00+00:00,109,22.60000,39.00000,23.40000,36.00000,23.50000,40.00000,,,,
2023-12-05T22:33:15+00:00,110,22.60000,38.00000,23.40000,36.00000,23.50000,39.00000,,,,
